marca,anio,localizacion,kilometraje,combustible,distintivo_ambiental,garantia,cambio,carroceria,plazas,potencia,puertas,color,precio,vendedor,consumo_medio,certificado,fecha_extraccion,referencia
FORD Mustang 5.0 Ti-VCT V8+714 CV+RECARO+KAMERA+LED+,06/2019,Madrid,23.000 km,Gasolina,C,12 meses,Automático,Pequeño,,714 cv,3 Puertas,gris / Metalizado,64.900 €,"GERMACARS MOBILITY
Profesional",,No,2025-02-18 11:15:17.922326,ref15231216
FORD Mustang 5.0 Ti-VCT V8 GT350 LOOK Shelby,01/2019,Madrid,41.000 km,Gasolina,C,12 meses,Manual,Pequeño,,450 cv,3 Puertas,negro / Metalizado,43.000 €,"GERMACARS MOBILITY
Profesional",,No,2025-02-18 11:15:45.618010,ref15221898
FORD Focus 2.3 Ecoboost ST 3,12/2020,Madrid,89.552 km,Gasolina,C,12 meses,Manual,Berlina,5 asientos,280 cv,5 Puertas,negro / Metalizado,29.690 €,"GERMACARS MOBILITY
Profesional","Consumo medio
7,60
litros/100 km",No,2025-02-18 11:15:53.589509,ref15036704
BMW X4 xDrive 20dA xLine,04/2024,Granada,25.600 km,Diesel,ECO,24 meses,Automático,Coupe,5 asientos,190 cv,5 Puertas,Azul,57.900 €,"FRAMACAR AUTOMOVILES
Profesional","Consumo medio
0,00
litros/100 km",No,2025-02-18 11:16:00.414864,ref15227266
BMW X4 xDrive 20dA,02/2020,Granada,95.800 km,Diesel,C,12 meses,Automático,Coupe,5 asientos,190 cv,5 Puertas,Rojo,39.490 €,"FRAMACAR AUTOMOVILES
Profesional","Consumo medio
5,00
litros/100 km",No,2025-02-18 11:16:07.869053,ref15304683
FORD Capri Premium RWD Rango Extendido 77kWh,11/2024,Vizcaya,2.100 km,Corriente eléctrica,0 EMISIONES,60 meses,Automático,Todo Terreno,5 asientos,286 cv,5 Puertas,-,41.900 €,"MINTEGUI SERVICIOS, concesionario oficial Ford
Profesional",,Si,2025-02-18 11:16:15.306264,ref15441793
FORD Explorer Premium RWD Rango Extendido 77kWh,11/2024,Vizcaya,2.100 km,Corriente eléctrica,0 EMISIONES,60 meses,Automático,Todo Terreno,5 asientos,286 cv,5 Puertas,Blanco,38.900 €,"MINTEGUI SERVICIOS, concesionario oficial Ford
Profesional","Consumo medio
0,00
litros/100 km",Si,2025-02-18 11:16:22.238697,ref15441792
HYUNDAI Tucson 1.7 CRDI BLUEDRIVE LINK NAV 2WD 115CV 5P,12/2018,Málaga,56.697 km,Diésel,,12 meses,Manual,"4x4, SUV o pickup",,115 cv,5 Puertas,BLANCO POLAR,18.790 €,"Onecar.es Málaga
Profesional",,Si,2025-02-18 11:16:28.911978,ref15441463
MAZDA CX-3 2.0 Style 2WD Aut. 120,01/2017,Barcelona,73.000 km,Gasolina,C,12 meses,Automático,Todo Terreno,5 asientos,120 cv,5 Puertas,Blanco,"15.400 €
3%
14.900 €","C. MIRO MOTOR
Profesional","Consumo medio
5,80
litros/100 km",No,2025-02-18 11:16:36.017296,ref11654998
MITSUBISHI Outlander PHEV Kaiteki+ 4WD,08/2019,Madrid,31.407 km,Híbrido Enchufable,0 EMISIONES,Sí,Automático,Todo Terreno,5 asientos,224 cv,5 Puertas,Bronce,"27.890 €
7%
25.990 €","CONQUERO OCASION MADRID
Profesional","Consumo medio
1,80
litros/100 km",No,2025-02-18 11:16:42.246511,ref14853373
BMW Serie 2 M235iA xDrive Gran Coupé,11/2020,Granada,30.000 km,Gasolina,C,12 meses,Automático,Coupe,5 asientos,306 cv,4 Puertas,Negro,39.990 €,"FRAMACAR AUTOMOVILES
Profesional","Consumo medio
6,30
litros/100 km",No,2025-02-18 11:16:49.810956,ref15377387
SKODA Fabia 1.0 TSI Like 70kW,07/2020,Madrid,47.761 km,Gasolina,C,12 meses,Manual,Berlina,5 asientos,95 cv,5 Puertas,Blanco / Metalizado,11.990 €,"CLICARS MADRID
Profesional","Consumo medio
4,60
litros/100 km",No,2025-02-18 11:16:59.110655,ref15441776
BMW Serie 4 420dA Cabrio,04/2024,Granada,29.000 km,Diesel,ECO,24 meses,Automático,Convertible,4 asientos,190 cv,2 Puertas,Blanco,47.490 €,"FRAMACAR AUTOMOVILES
Profesional","Consumo medio
4,20
litros/100 km",No,2025-02-18 11:17:05.542826,ref15324940
SEAT Ibiza 1.0 TSI S&S FR XS 110,11/2023,Madrid,6.890 km,Gasolina,C,12 meses,Manual,Berlina,5 asientos,110 cv,5 Puertas,Blanco,16.990 €,"CLICARS MADRID
Profesional","Consumo medio
0,00
litros/100 km",No,2025-02-18 11:17:10.906833,ref15425082
RENAULT Captur TCe GPF Micro Híbrido Zen EDC 103kW,05/2022,Madrid,61.344 km,Gasolina,ECO,12 meses,Automático,Todo Terreno,5 asientos,140 cv,5 Puertas,Azul / Metalizado,19.990 €,"CLICARS MADRID
Profesional","Consumo medio
0,00
litros/100 km",No,2025-02-18 11:17:17.792677,ref15441774
SEAT Ibiza 1.6TDI CR S&S Reference 95,04/2019,Madrid,137.970 km,Diesel,C,12 meses,Manual,Berlina,5 asientos,95 cv,5 Puertas,Blanco,11.690 €,"CLICARS MADRID
Profesional","Consumo medio
3,70
litros/100 km",No,2025-02-18 11:17:24.683532,ref15441775
HYUNDAI Kona EV Tecno 100kW,12/2018,Madrid,87.709 km,Corriente eléctrica,0 EMISIONES,12 meses,Automático,Todo Terreno,5 asientos,136 cv,5 Puertas,Azul / Metalizado,"17.990 €
3%
17.490 €","CLICARS MADRID
Profesional","Consumo medio
0,00
litros/100 km",No,2025-02-18 11:17:48.750073,ref15390505
CITROEN C3 Aircross BlueHDi S&S You 110,03/2024,Madrid,17.894 km,Diesel,C,12 meses,Manual,Todo Terreno,5 asientos,110 cv,5 Puertas,Blanco,15.990 €,"CLICARS MADRID
Profesional","Consumo medio
0,00
litros/100 km",No,2025-02-18 11:17:54.728123,ref15399537
AUDI A3 Sportback 35TDI Black line,02/2022,Madrid,63.135 km,Diesel,C,12 meses,Manual,Berlina,5 asientos,150 cv,5 Puertas,Gris / Metalizado,28.990 €,"CLICARS MADRID
Profesional","Consumo medio
0,00
litros/100 km",No,2025-02-18 11:18:00.638511,ref15416657
FIAT 500 1.0 Hybrid Monotrim 52kW,05/2023,Madrid,23.174 km,Gasolina,ECO,12 meses,Manual,Berlina,4 asientos,70 cv,3 Puertas,Azul / Metalizado,10.990 €,"CLICARS MADRID
Profesional","Consumo medio
0,00
litros/100 km",No,2025-02-18 11:18:06.161095,ref15424985
HYUNDAI Tucson 1.7CRDI BD Essence 4x2,01/2017,Madrid,137.198 km,Diesel,C,12 meses,Manual,Todo Terreno,5 asientos,115 cv,5 Puertas,Azul / Metalizado,14.690 €,"CLICARS MADRID
Profesional","Consumo medio
4,60
litros/100 km",No,2025-02-18 11:18:12.355705,ref15437869
CITROEN C3 Aircross Puretech S&S Feel 110,02/2020,Madrid,81.401 km,Gasolina,C,12 meses,Manual,Todo Terreno,5 asientos,110 cv,5 Puertas,Beige / Metalizado,11.490 €,"CLICARS MADRID
Profesional","Consumo medio
5,00
litros/100 km",No,2025-02-18 11:18:18.328814,ref15427655
CITROEN C3 Origin 1.2 PureTech S&S Plus 83,04/2024,Madrid,7.400 km,Gasolina,C,12 meses,Manual,Berlina,5 asientos,83 cv,5 Puertas,Gris / Metalizado,13.490 €,"CLICARS MADRID
Profesional","Consumo medio
0,00
litros/100 km",No,2025-02-18 11:18:24.816190,ref15429747
HYUNDAI Tucson 1.6 TGDI 48V Maxx 4x2,05/2022,Madrid,85.139 km,Gasolina,ECO,12 meses,Manual,Todo Terreno,5 asientos,150 cv,5 Puertas,Blanco,20.890 €,"CLICARS MADRID
Profesional","Consumo medio
0,00
litros/100 km",No,2025-02-18 11:18:30.362768,ref15429791
CITROEN C4 1.5 BlueHDI S&S Feel Pack EAT8 130,02/2021,Madrid,160.239 km,Diesel,C,12 meses,Automático,Berlina,5 asientos,130 cv,5 Puertas,Blanco,14.990 €,"CLICARS MADRID
Profesional","Consumo medio
3,40
litros/100 km",No,2025-02-18 11:18:36.186685,ref15348423
FIAT 500 1.0 Hybrid Monotrim 52kW,05/2023,Madrid,18.308 km,Gasolina,ECO,12 meses,Manual,Berlina,4 asientos,70 cv,3 Puertas,Azul / Metalizado,11.290 €,"CLICARS MADRID
Profesional","Consumo medio
0,00
litros/100 km",No,2025-02-18 11:18:42.129465,ref15348427
CITROEN C4 Picasso 1.2 PureTech S&S Live Edition,03/2016,Madrid,60.375 km,Gasolina,C,12 meses,Manual,Monovolumen,5 asientos,130 cv,5 Puertas,Rojo / Metalizado,10.390 €,"CLICARS MADRID
Profesional","Consumo medio
5,00
litros/100 km",No,2025-02-18 11:18:48.755920,ref15377607
HYUNDAI Ioniq PHEV 1.6 GDI Tecno,12/2019,Madrid,106.606 km,Diésel,,12 meses,Manual,Berlina mediana o grande,,141 cv,5 Puertas,Azul / Metalizado,16.990 €,"CLICARS MADRID
Profesional",,No,2025-02-18 11:18:56.477227,ref15400979
HYUNDAI Tucson 1.6 TGDI 48V Tecno Sky 4x2,03/2023,Madrid,13.554 km,Gasolina,ECO,12 meses,Manual,Todo Terreno,5 asientos,150 cv,5 Puertas,Azul / Metalizado,27.490 €,"CLICARS MADRID
Profesional","Consumo medio
0,00
litros/100 km",No,2025-02-18 11:19:02.674932,ref15402371
AUDI Q3 35 TDI Advanced S tronic 110kW,12/2019,Madrid,121.275 km,Diesel,C,12 meses,Automático,Todo Terreno,5 asientos,150 cv,5 Puertas,Gris / Metalizado,25.490 €,"CLICARS MADRID
Profesional","Consumo medio
0,00
litros/100 km",No,2025-02-18 11:19:08.702478,ref15407183
CITROEN C4 X 1.2 PureTech Plus S&S EAT8 130,02/2024,Madrid,23.772 km,Gasolina,C,12 meses,Automático,Berlina,5 asientos,130 cv,4 Puertas,Plateado / Metalizado,17.490 €,"CLICARS MADRID
Profesional","Consumo medio
0,00
litros/100 km",No,2025-02-18 11:19:15.140868,ref15408943
TOYOTA Auris Touring Sports hybrid 140H Active,02/2016,Madrid,102.012 km,Gasolina y corriente eléctrica,ECO,12 meses,Automático,Stationwagon,5 asientos,136 cv,5 Puertas,Azul / Metalizado,13.690 €,"CLICARS MADRID
Profesional","Consumo medio
4,20
litros/100 km",No,2025-02-18 11:19:20.576153,ref15441790
SEAT Ibiza 1.0 MPI Evo S&S Reference 80,11/2021,Madrid,48.150 km,Gasolina,C,12 meses,Manual,Berlina,5 asientos,80 cv,5 Puertas,Blanco,"13.490 €
4%
12.990 €","CLICARS MADRID
Profesional","Consumo medio
0,00
litros/100 km",No,2025-02-18 11:19:53.061316,ref15366108
RENAULT Kadjar 1.5dCi Blue Intens 85kW,08/2020,Madrid,137.842 km,Diesel,C,12 meses,Manual,Todo Terreno,5 asientos,115 cv,5 Puertas,Negro,15.990 €,"CLICARS MADRID
Profesional","Consumo medio
4,30
litros/100 km",No,2025-02-18 11:19:59.837182,ref15377676
TOYOTA C-HR 125H Active,02/2021,Madrid,109.273 km,Gasolina y corriente eléctrica,ECO,12 meses,Automático,Todo Terreno,5 asientos,122 cv,5 Puertas,Gris / Metalizado,20.290 €,"CLICARS MADRID
Profesional","Consumo medio
0,00
litros/100 km",No,2025-02-18 11:20:05.478459,ref15377692
RENAULT Mégane 1.2 TCe Energy Tech Road 74kW,06/2018,Madrid,76.068 km,Gasolina,C,12 meses,Manual,Berlina,5 asientos,100 cv,5 Puertas,Negro,13.990 €,"CLICARS MADRID
Profesional","Consumo medio
5,40
litros/100 km",No,2025-02-18 11:20:11.318195,ref15404412
RENAULT Espace Blue dCi Initiale Paris EDC 139kW,08/2021,Madrid,44.318 km,Diesel,C,12 meses,Automático,Monovolumen,5 asientos,190 cv,5 Puertas,Blanco,33.990 €,"CLICARS MADRID
Profesional","Consumo medio
5,50
litros/100 km",No,2025-02-18 11:20:18.357240,ref15425044
VOLKSWAGEN Golf GTE 1.4 TSI,08/2020,Madrid,99.845 km,Híbrido Enchufable,0 EMISIONES,12 meses,Automático,Berlina,5 asientos,204 cv,5 Puertas,Blanco,20.990 €,"CLICARS MADRID
Profesional","Consumo medio
1,60
litros/100 km",No,2025-02-18 11:20:24.340065,ref15425084
SEAT Arona 1.0 TSI S&S FR DSG7 XM 110,09/2023,Madrid,12.808 km,Gasolina,C,12 meses,Automático,Todo Terreno,5 asientos,110 cv,5 Puertas,Blanco / Metalizado,20.990 €,"CLICARS MADRID
Profesional","Consumo medio
0,00
litros/100 km",No,2025-02-18 11:20:30.790078,ref15437916
SEAT Ibiza 1.0 TSI S&S FR XS 110,11/2023,Madrid,14.673 km,Gasolina,C,12 meses,Manual,Berlina,5 asientos,110 cv,5 Puertas,Gris,16.590 €,"CLICARS MADRID
Profesional","Consumo medio
0,00
litros/100 km",No,2025-02-18 11:20:36.731689,ref15438248
AUDI A3 Sportback 35TDI Black line,03/2022,Madrid,59.940 km,Diesel,C,12 meses,Manual,Berlina,5 asientos,150 cv,5 Puertas,Gris / Metalizado,"29.290 €
2%
28.790 €","CLICARS MADRID
Profesional","Consumo medio
0,00
litros/100 km",No,2025-02-18 11:20:42.624026,ref15365502
PEUGEOT 5008 SUV 1.2 PureTech S&S Allure 130,06/2019,Madrid,95.968 km,Gasolina,C,12 meses,Manual,Todo Terreno,7 asientos,130 cv,5 Puertas,Azul / Metalizado,16.990 €,"CLICARS MADRID
Profesional","Consumo medio
5,20
litros/100 km",No,2025-02-18 11:20:47.733357,ref15440814
MERCEDES-BENZ Clase GLC 200d 4Matic 9G-Tronic,11/2020,Madrid,103.811 km,Diesel,C,12 meses,Automático,Todo Terreno,5 asientos,163 cv,5 Puertas,Gris,34.990 €,"CLICARS MADRID
Profesional","Consumo medio
5,20
litros/100 km",No,2025-02-18 11:20:54.126023,ref15422462
PEUGEOT 2008 1.2 PureTech S&S Allure 100,04/2024,Madrid,10.652 km,Gasolina,C,12 meses,Manual,Todo Terreno,5 asientos,100 cv,5 Puertas,Azul / Metalizado,17.490 €,"CLICARS MADRID
Profesional","Consumo medio
0,00
litros/100 km",No,2025-02-18 11:21:00.604355,ref15422482
PEUGEOT 208 1.2 Puretech S&S Allure 100,07/2024,Madrid,7.968 km,Gasolina,C,12 meses,Manual,Berlina,5 asientos,100 cv,5 Puertas,Blanco,15.290 €,"CLICARS MADRID
Profesional","Consumo medio
0,00
litros/100 km",No,2025-02-18 11:21:07.446474,ref15422870
HYUNDAI i10 1.0 Tecno Blue,04/2014,Madrid,94.552 km,Gasolina,C,12 meses,Manual,Berlina,5 asientos,66 cv,5 Puertas,Azul / Metalizado,7.690 €,"CLICARS MADRID
Profesional","Consumo medio
4,70
litros/100 km",No,2025-02-18 11:21:14.341077,ref15414034
PORSCHE Cayenne E-Hybrid Coupé Aut.,12/2019,Madrid,55.376 km,Híbrido Enchufable,0 EMISIONES,12 meses,Automático,Coupe,5 asientos,462 cv,5 Puertas,Azul / Metalizado,76.490 €,"CLICARS MADRID
Profesional","Consumo medio
3,10
litros/100 km",No,2025-02-18 11:21:20.756140,ref15370550
PEUGEOT 2008 1.2 PureTech S&S Allure 100,03/2024,Madrid,24.708 km,Gasolina,C,12 meses,Manual,Todo Terreno,5 asientos,100 cv,5 Puertas,Plateado,17.490 €,"CLICARS MADRID
Profesional","Consumo medio
0,00
litros/100 km",No,2025-02-18 11:21:26.365831,ref15395590
KIA Niro 1.6 HEV Drive 141,01/2024,Madrid,39.055 km,Gasolina y corriente eléctrica,ECO,12 meses,Automático,Todo Terreno,5 asientos,141 cv,5 Puertas,Blanco / Metalizado,25.490 €,"CLICARS MADRID
Profesional","Consumo medio
0,00
litros/100 km",No,2025-02-18 11:21:51.371745,ref15338080
NISSAN Qashqai 1.3 DIG-T mHEV 12V Acenta 4x2 103kW,09/2022,Madrid,58.462 km,Gasolina,ECO,12 meses,Manual,Todo Terreno,5 asientos,140 cv,5 Puertas,Rojo / Metalizado,"20.990 €
2%
20.490 €","CLICARS MADRID
Profesional","Consumo medio
0,00
litros/100 km",No,2025-02-18 11:21:56.856995,ref15346284
PEUGEOT 408 PureTech 130 Allure EAT8,02/2024,Madrid,22.767 km,Gasolina,C,12 meses,Automático,Berlina,5 asientos,130 cv,5 Puertas,Azul / Metalizado,"23.990 €
3%
23.290 €","CLICARS MADRID
Profesional","Consumo medio
0,00
litros/100 km",No,2025-02-18 11:22:04.006658,ref15364432
FIAT 500 1.0 Hybrid Monotrim 52kW,04/2024,Madrid,13.931 km,Gasolina,ECO,12 meses,Manual,Berlina,4 asientos,70 cv,3 Puertas,Negro,11.790 €,"CLICARS MADRID
Profesional","Consumo medio
0,00
litros/100 km",No,2025-02-18 11:22:09.927708,ref15401528
BMW i3 120Ah,03/2022,Madrid,25.910 km,Corriente eléctrica,0 EMISIONES,12 meses,Automático,Monovolumen,4 asientos,170 cv,5 Puertas,Blanco,22.590 €,"CLICARS MADRID
Profesional","Consumo medio
0,00
litros/100 km",No,2025-02-18 11:22:16.555922,ref15407184
FORD Kuga 1.5 EcoBoost ST-Line FWD 150,07/2022,Madrid,53.567 km,Gasolina,C,12 meses,Manual,Todo Terreno,5 asientos,150 cv,5 Puertas,Azul / Metalizado,19.990 €,"CLICARS MADRID
Profesional","Consumo medio
5,50
litros/100 km",No,2025-02-18 11:22:24.378373,ref15437868
RENAULT Espace Blue dCi Initiale Paris EDC 139kW,08/2021,Madrid,44.318 km,Diesel,C,12 meses,Automático,Monovolumen,5 asientos,190 cv,5 Puertas,Blanco,33.990 €,"CLICARS MADRID
Profesional","Consumo medio
5,50
litros/100 km",No,2025-02-18 11:22:31.325328,ref15425044
